scenario_id,return_period,duration_min,overflow_flag,total_inflow_m3,max_possible_drain_m3,inflow_minus_maxdrain_m3,reservoir_capacity_m3,peak_vol_m3,max_level_m
80yr_0360m_h620,80,360,0,80287.08897594233,266240,-185952.91102405766,16000.0,3041.259328209765,6.51710588251679
80yr_0360m_h624,80,360,0,80819.77879278842,266240,-185420.22120721158,16000.0,3035.4186936134174,6.515106643290657
80yr_0360m_h630,80,360,0,79685.03341830187,266240,-186554.96658169813,16000.0,3092.955654338368,6.534801446472791
80yr_0360m_h683,80,360,0,81996.2469511427,266240,-184243.7530488573,16000.0,3350.7715245369127,6.623051377592097
80yr_0360m_h718,80,360,0,81782.67809295833,266240,-184457.32190704165,16000.0,3381.7873876755193,6.633668054461058
100yr_0360m_h639,100,360,0,82720.07058630153,266240,-183519.92941369847,16000.0,3104.344178798452,6.538699718904115
100yr_0360m_h669,100,360,0,84322.85260395097,266240,-181917.14739604903,16000.0,3306.1709288111933,6.607784670008721
100yr_0360m_h680,100,360,0,85028.19704621151,266240,-181211.8029537885,16000.0,3288.393144568261,6.6016993648888915
100yr_0360m_h713,100,360,0,85123.6012541239,266240,-181116.3987458761,16000.0,3486.363022561196,6.669464115302121
100yr_0360m_h742,100,360,0,84941.23752723151,266240,-181298.7624727685,16000.0,3357.369202581467,6.625309751494878
10yr_0540m_h793,10,540,0,62881.51896181709,381440,-318558.4810381829,16000.0,2779.8672175712827,6.427631810415598
10yr_0540m_h797,10,540,0,62973.06580159048,381440,-318466.93419840955,16000.0,2706.452028673396,6.402501916905319
10yr_0540m_h800,10,540,0,62603.13976252959,381440,-318836.8602374704,16000.0,2763.765397135264,6.422120184838477
10yr_0540m_h830,10,540,0,62563.4493591863,381440,-318876.5506408137,16000.0,2791.8008668262823,6.431716678131246
10yr_0540m_h843,10,540,0,64416.20405063371,381440,-317023.7959493663,16000.0,2720.958684275931,6.40746752029005
20yr_0540m_h787,20,540,0,74333.69018717788,381440,-307106.30981282215,16000.0,2767.4767604302206,6.4233905781423735
20yr_0540m_h803,20,540,0,73773.32779820223,381440,-307666.6722017978,16000.0,2742.575935109755,6.414867068252728
20yr_0540m_h804,20,540,0,73262.08565096761,381440,-308177.9143490324,16000.0,2862.368896766464,6.45587199400319
20yr_0540m_h821,20,540,0,73700.19068491,381440,-307739.80931509,16000.0,3023.1560903521163,6.510909175181653
20yr_0540m_h858,20,540,0,75074.48315673103,381440,-306365.516843269,16000.0,3014.1989729172665,6.507843169213734
30yr_0540m_h749,30,540,0,78563.27610118745,381440,-302876.72389881255,16000.0,2768.6138262182176,6.423779793815527
30yr_0540m_h772,30,540,0,78284.73787418439,381440,-303155.2621258156,16000.0,2740.4824617068907,6.4141504758898895
