scenario_id,return_period,duration_min,n_steps,max_level_m,overflow_flag,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,total_inflow_m3,total_outflow_m3,peak_inflow_per_step_m3,max_possible_drain_m3,reservoir_capacity_m3,inflow_minus_maxdrain_m3,peak_vol_m3,wall_s
30yr_0240m_h615,30,240,149,6.6289527696441155,0,13,209,40,0,303.7312579302096,55976.057606414906,55200.0,1166.394308970163,189440,16000.0,-133463.9423935851,3368.0120198888817,0.08832712494768202
50yr_0240m_h515,50,240,149,6.510085550124271,0,14,238,36,0,304.51046200075314,61278.206319650504,59840.0,997.1363968055133,189440,16000.0,-128161.7936803495,3020.749928577334,0.09092606115154922
50yr_0240m_h542,50,240,149,6.647848006810586,0,14,235,41,0,304.8191784647596,61852.454176703046,60940.0,1090.7840244291451,189440,16000.0,-127587.54582329695,3423.2131056109247,0.09196016006171703
50yr_0240m_h549,50,240,149,6.634382409559822,0,14,234,44,0,304.4208721050601,62489.24832429293,61760.0,1101.8310012714733,189440,16000.0,-126950.75167570707,3383.874325071196,0.09300793404690921
50yr_0240m_h560,50,240,149,6.635184307631146,0,12,221,48,0,304.7886894643221,61351.38062022278,60520.0,1149.384996558606,189440,16000.0,-128088.61937977723,3386.217013008135,0.08908564108423889
50yr_0240m_h565,50,240,149,6.627645295184894,0,10,219,49,0,305.0007055441731,61782.06641600786,60460.0,1157.0106147957931,189440,16000.0,-127657.93358399214,3364.192326647297,0.08900870406068861
80yr_0240m_h502,80,240,149,6.614001707568805,0,16,250,43,0,304.6257950068698,66067.80859175514,64620.0,1085.9238704010568,189440,16000.0,-123372.19140824486,3324.333559968867,0.09655479295179248
80yr_0240m_h508,80,240,149,6.604399612382043,0,14,253,40,0,304.42040785087454,65161.36893443389,64200.0,1069.545136941327,189440,16000.0,-124278.63106556611,3296.281724744682,0.0947146569378674
80yr_0240m_h538,80,240,149,6.618097699419506,0,14,235,55,0,305.07145092323583,67100.5437671591,65700.0,1166.8938582836724,189440,16000.0,-122339.4562328409,3336.299707589844,0.09163566795177758
80yr_0240m_h605,80,240,149,6.642208118402219,0,12,224,58,0,306.4970639948872,66315.62028150047,64520.0,1316.6173502153838,189440,16000.0,-123124.37971849953,3406.736574475053,0.08894426701590419
80yr_0240m_h612,80,240,149,6.602572803317279,0,12,226,56,0,305.23247307480057,65521.953323107606,64240.0,1304.9855326433826,189440,16000.0,-123918.0466768924,3290.9448325483363,0.08893341617658734
100yr_0240m_h514,100,240,149,6.6103931590138725,0,16,255,50,0,304.70860523041335,69114.73698994546,68000.0,1141.4813950758496,189440,16000.0,-120325.26301005454,3313.7914431190984,0.10261373803950846
100yr_0240m_h566,100,240,149,6.602532390884771,0,10,225,63,0,306.38329447901475,68160.61434208245,66420.0,1237.8527556487143,189440,16000.0,-121279.38565791755,3290.8267705133676,0.14732902101241052
100yr_0240m_h567,100,240,149,6.65175921141298,0,12,232,63,0,306.7233127754735,68624.12604806003,67820.0,1244.8463222090763,189440,16000.0,-120815.87395193997,3434.6394104850633,0.09070495003834367
100yr_0240m_h592,100,240,149,6.674694490728792,0,16,225,63,0,306.8705534829369,68466.20806359465,66420.0,1349.0525060627137,189440,16000.0,-120973.79193640535,3501.6431907719725,0.09200275898911059
100yr_0240m_h612,100,240,149,6.697464196584947,0,12,232,63,0,308.28035491140673,68545.2490628791,67820.0,1350.2902444482763,189440,16000.0,-120894.7509371209,3568.163260023166,0.09226735681295395
10yr_0360m_h705,10,360,209,6.524330308873962,0,10,251,8,0,422.8635682406372,54250.89320611418,52920.0,697.3121083873137,266240,16000.0,-211989.10679388582,3062.3649737817896,0.11370288487523794
