condition,scenario,n_decisions,swmm_time_s,inference_time_s,total_time_s,ms_per_decision_inference_only,margin_x
PSO-guided,20yr_0360m_h664,208,0.11034966795705259,0.024175466038286686,0.14391900994814932,0.11622820210714753,173430.8762198441
PSO-guided,20yr_0540m_h775,298,0.15364392497576773,0.03348938166163862,0.20022313203662634,0.11238047537462624,178600.7422631792
PSO-guided,20yr_0720m_h983,388,0.1983788579236716,0.04380839806981385,0.2592941059265286,0.11290824244797383,179564.43642877426
PSO-guided,20yr_1080m_h1084,568,0.283812410896644,0.0640806294977665,0.3728257690090686,0.11281800967916637,182819.98098243598
PSO-guided,20yr_1440m_h1149,748,0.3757985190022737,0.08500000415369868,0.4937021038495004,0.11363636918943675,181810.04152123755
PSO-guided,30yr_0060m_h214,58,0.03639671299606562,0.006897160783410072,0.04604512010701001,0.11891656523120815,151156.08307296812
PSO-guided,30yr_0120m_h335,88,0.05145020689815283,0.010224634315818548,0.06583087285980582,0.11618902631611987,160411.05853918567
PSO-guided,30yr_0180m_h490,118,0.06591041688807309,0.013596656732261181,0.08477160194888711,0.11522590451068797,167037.06989680044
PSO-guided,30yr_0240m_h619,148,0.0809840199071914,0.017128881299868226,0.10481897997669876,0.11573568445856909,169434.96305676745
PSO-guided,30yr_0360m_h687,208,0.11701252590864897,0.024099662667140365,0.15061384695582092,0.11586376282279022,165721.8144578794
PSO-guided,30yr_0540m_h753,298,0.15368297207169235,0.0343460557051003,0.20141116017475724,0.11525522048691375,177547.26187452735
PSO-guided,30yr_0720m_h988,388,0.19834291306324303,0.04371240711770952,0.2592908530496061,0.1126608430868802,179566.6891153017
PSO-guided,30yr_1080m_h1011,568,0.28533374099060893,0.06363415042869747,0.37380073592066765,0.11203195498010117,182343.14020843903
PSO-guided,30yr_1440m_h1148,748,0.37329295510426164,0.08422992820851505,0.4900516390334815,0.1126068558937367,183164.37054885025
PSO-guided,50yr_0060m_h244,58,0.0369479120709002,0.006874336628243327,0.04658871307037771,0.11852304531454012,149392.4073302069
PSO-guided,50yr_0120m_h326,88,0.05168887902982533,0.010167499305680394,0.06585862999781966,0.11553976483727721,160343.45081805685
PSO-guided,50yr_0180m_h411,118,0.06833175988867879,0.013570812065154314,0.08713204390369356,0.11500688190808742,162511.9687958996
PSO-guided,50yr_0240m_h616,148,0.08124012313783169,0.01690077385865152,0.10481658298522234,0.11419441796386161,169438.83776962955
PSO-guided,50yr_0360m_h678,208,0.1142057420220226,0.02336047380231321,0.14664944494143128,0.1123099702034289,170201.80342290763
PSO-guided,50yr_0540m_h777,298,0.16349155688658357,0.03460817621089518,0.2116311709396541,0.11613481949964825,168973.21808136118
PSO-guided,50yr_0720m_h940,388,0.1995851960964501,0.044336333172395825,0.26138409902341664,0.11426889992885522,178128.6626614147
PSO-guided,50yr_1080m_h1083,568,0.2859947099350393,0.06376263196580112,0.37448955816216767,0.11225815486936816,182007.7449809274
PSO-guided,50yr_1440m_h1145,748,0.38025274709798396,0.08292717672884464,0.49526323401369154,0.11086520953054096,181236.95407908794
PSO-guided,80yr_0060m_h246,58,0.03801811393350363,0.006860185647383332,0.04762279614806175,0.11827906288591952,146148.4953206233
