model,seed,episode,return_period_year,train_reward
GA-guided,2,15,30,147.845574
GA-guided,2,16,20,30.155156
GA-guided,2,17,20,103.067017
GA-guided,2,18,100,78.364612
GA-guided,2,19,50,188.760363
GA-guided,2,20,80,78.711401
GA-guided,2,21,80,64.257645
GA-guided,2,22,30,46.989078
GA-guided,2,23,20,29.926693
GA-guided,2,24,50,352.824087
GA-guided,2,25,80,108.121114
GA-guided,2,26,80,77.993478
GA-guided,2,27,20,30.916608
GA-guided,2,28,10,28.610812
GA-guided,2,29,50,351.079612
GA-guided,2,30,80,271.034273
GA-guided,2,31,20,147.078027
GA-guided,2,32,100,187.704831
GA-guided,2,33,50,189.521297
GA-guided,2,34,20,273.131939
GA-guided,2,35,30,62.062328
GA-guided,2,36,100,65.331955
GA-guided,2,37,20,76.314150
GA-guided,2,38,50,146.925543
GA-guided,2,39,30,76.189673
GA-guided,2,40,20,145.735164
GA-guided,2,41,80,105.187956
GA-guided,2,42,80,349.462671
GA-guided,2,43,80,47.321061
GA-guided,2,44,10,143.551958
GA-guided,2,45,20,106.478634
GA-guided,2,46,80,76.640066
GA-guided,2,47,80,277.051162
GA-guided,2,48,80,357.911154
GA-guided,2,49,10,44.887065
GA-guided,2,50,30,103.031420
GA-guided,2,51,100,278.240476
GA-guided,2,52,30,74.446207
GA-guided,2,53,80,76.262616
GA-guided,2,54,50,47.863516
GA-guided,2,55,50,47.251171
GA-guided,2,56,20,146.039346
GA-guided,2,57,30,77.213810
GA-guided,2,58,10,181.141652
GA-guided,2,59,100,191.081826
GA-guided,2,60,20,28.381725
GA-guided,2,61,50,74.388469
GA-guided,2,62,20,59.047159
GA-guided,2,63,30,348.693568
GA-guided,2,64,80,352.977325
GA-guided,2,65,20,271.036721
GA-guided,2,66,80,355.007330
GA-guided,2,67,20,265.621787
GA-guided,2,68,100,364.943303
GA-guided,2,69,30,148.312878
GA-guided,2,70,80,150.736454
GA-guided,2,71,100,48.638050
GA-guided,2,72,20,30.483567
GA-guided,2,73,10,271.577895
GA-guided,2,74,50,272.134011
GA-guided,2,75,100,150.855192
GA-guided,2,76,50,145.029638
GA-guided,2,77,80,362.858651
GA-guided,2,78,20,73.175968
GA-guided,2,79,80,352.488984
GA-guided,2,80,10,74.682903
GA-guided,2,81,20,59.007444
GA-guided,2,82,80,360.622691
GA-guided,2,83,50,147.181554
GA-guided,2,84,10,46.845591
GA-guided,2,85,30,47.443307
GA-guided,2,86,10,141.837609
GA-guided,2,87,20,354.346257
GA-guided,2,88,80,77.575213
GA-guided,2,89,50,347.014978
GA-guided,2,90,10,350.468977
GA-guided,2,91,10,141.296123
GA-guided,2,92,20,29.083987
GA-guided,2,93,20,150.255954
GA-guided,2,94,10,45.485189
GA-guided,2,95,50,193.783433
GA-guided,2,96,100,105.739952
GA-guided,2,97,20,187.490234
GA-guided,2,98,10,150.724585
GA-guided,2,99,80,153.340138
GA-guided,2,100,10,42.935978
GA-guided,2,101,80,107.832086
GA-guided,2,102,20,273.829653
GA-guided,2,103,80,107.137890
GA-guided,2,104,20,187.183698
GA-guided,2,105,30,153.597140
GA-guided,2,106,10,148.278110
GA-guided,2,107,20,60.132821
GA-guided,2,108,30,105.618873
GA-guided,2,109,100,152.429887
GA-guided,2,110,30,31.606599
GA-guided,2,111,100,109.593471
GA-guided,2,112,100,81.780477
GA-guided,2,113,10,58.393327
GA-guided,2,114,80,106.793329
GA-guided,2,115,50,191.316411
GA-guided,2,116,80,64.358206
GA-guided,2,117,50,368.440662
GA-guided,2,118,80,194.470932
GA-guided,2,119,20,75.521661
GA-guided,2,120,20,47.700599
GA-guided,2,121,10,45.907886
GA-guided,2,122,50,363.570500
GA-guided,2,123,100,79.636630
GA-guided,2,124,30,47.078632
GA-guided,2,125,20,276.407700
GA-guided,2,126,30,60.977791
GA-guided,2,127,80,195.031471
GA-guided,2,128,30,150.755698
GA-guided,2,129,50,48.414756
GA-guided,2,130,10,105.643144
GA-guided,2,131,10,29.516552
GA-guided,2,132,80,63.622355
GA-guided,2,133,50,366.012172
GA-guided,2,134,10,273.885381
GA-guided,2,135,30,151.915369
GA-guided,2,136,20,149.860858
GA-guided,2,137,50,63.252622
GA-guided,2,138,80,365.906665
GA-guided,2,139,30,45.265676
GA-guided,2,140,30,109.085544
GA-guided,2,141,80,276.755453
GA-guided,2,142,30,151.413034
GA-guided,2,143,50,193.826668
GA-guided,2,144,10,364.615847
GA-guided,2,145,30,108.548898
GA-guided,2,146,100,283.496087
GA-guided,2,147,10,77.338678
GA-guided,2,148,50,31.500441
GA-guided,2,149,80,285.592461
GA-guided,2,150,50,31.657387
GA-guided,2,151,20,45.980891
GA-guided,2,152,30,280.644880
GA-guided,2,153,10,280.430919
GA-guided,2,154,10,359.857372
GA-guided,2,155,10,366.782330
GA-guided,2,156,20,49.208316
GA-guided,2,157,100,65.343293
GA-guided,2,158,80,65.452914
GA-guided,2,159,80,65.689983
Regular,3,0,50,190.470614
Regular,3,1,20,91.830689
Regular,3,2,80,76.765627
Regular,3,3,30,51.566615
Regular,3,4,20,28.129142
Regular,3,5,50,45.548957
Regular,3,6,10,37.607972
Regular,3,7,100,98.978554
Regular,3,8,100,112.344120
Regular,3,9,80,129.213581
Regular,3,10,20,48.379146
Regular,3,11,50,126.524596
Regular,3,12,30,105.761223
Regular,3,13,30,107.170224
Regular,3,14,10,23.854445
Regular,3,15,20,22.831346
Regular,3,16,80,74.393261
Regular,3,17,80,58.081270
Regular,3,18,50,113.302684
Regular,3,19,80,169.692852
Regular,3,20,80,208.922433
Regular,3,21,50,212.181003
Regular,3,22,50,204.702328
Regular,3,23,50,129.973242
Regular,3,24,80,55.862331
Regular,3,25,30,85.750692
Regular,3,26,20,172.010353
Regular,3,27,10,197.582213
Regular,3,28,50,214.473533
Regular,3,29,100,131.243713
Regular,3,30,80,137.705410
Regular,3,31,50,57.425722
Regular,3,32,30,105.961886
Regular,3,33,20,38.762607
Regular,3,34,100,137.159492
Regular,3,35,80,183.288028
Regular,3,36,20,57.061307
Regular,3,37,50,30.001352
Regular,3,38,100,68.811300
Regular,3,39,30,135.803647
Regular,3,40,80,59.390678
Regular,3,41,50,46.198225
Regular,3,42,20,173.300899
Regular,3,43,10,124.564070
Regular,3,44,20,78.910504
Regular,3,45,10,222.855910
Regular,3,46,10,103.668865
Regular,3,47,30,77.060249
Regular,3,48,10,171.087577
Regular,3,49,50,141.215566
Regular,3,50,100,57.059648
Regular,3,51,20,26.789187
Regular,3,52,80,57.649388
Regular,3,53,20,80.250329
Regular,3,54,80,71.198439
Regular,3,55,80,194.456392
Regular,3,56,100,119.180468
Regular,3,57,100,29.284655
Regular,3,58,30,41.124856
Regular,3,59,50,40.301238
Regular,3,60,80,69.979895
Regular,3,61,20,193.930490
Regular,3,62,30,114.393495
Regular,3,63,30,54.312123
Regular,3,64,80,254.560687
Regular,3,65,20,62.715356
Regular,3,66,50,117.194296
Regular,3,67,10,37.271968
Regular,3,68,30,62.201773
Regular,3,69,30,85.491030
Regular,3,70,50,150.446575
Regular,3,71,20,51.213645
Regular,3,72,50,119.342768
Regular,3,73,80,44.711355
Regular,3,74,80,95.561095
Regular,3,75,30,66.553307
Regular,3,76,80,277.124174
Regular,3,77,20,121.079300
Regular,3,78,80,269.224162
Regular,3,79,20,124.034241
Regular,3,80,30,41.939821
Regular,3,81,80,94.195445
Regular,3,82,50,69.805974
Regular,3,83,10,63.433268
Regular,3,84,20,145.971210
Regular,3,85,100,223.203089
Regular,3,86,10,39.223532
Regular,3,87,100,291.972225
Regular,3,88,30,39.859718
Regular,3,89,10,266.780309
Regular,3,90,50,131.065411
Regular,3,91,30,124.291728
Regular,3,92,30,128.007627
Regular,3,93,50,290.442003
Regular,3,94,30,122.589096
Regular,3,95,10,122.065342
Regular,3,96,50,291.480226
Regular,3,97,30,27.892714
Regular,3,98,10,228.611675
Regular,3,99,80,96.907623
Regular,3,100,10,38.003159
Regular,3,101,100,232.534304
Regular,3,102,100,96.689436
Regular,3,103,30,167.901702
Regular,3,104,20,41.403815
Regular,3,105,10,231.527965
Regular,3,106,50,135.917017
Regular,3,107,20,131.084329
Regular,3,108,10,43.704023
Regular,3,109,80,59.940217
Regular,3,110,20,131.048867
Regular,3,111,50,315.065474
Regular,3,112,20,246.986567
Regular,3,113,20,26.289346
Regular,3,114,80,137.771378
Regular,3,115,100,174.057878
Regular,3,116,80,323.064292
Regular,3,117,20,58.731767
Regular,3,118,30,250.961376
Regular,3,119,100,76.807126
Regular,3,120,10,71.612362
Regular,3,121,80,106.570799
Regular,3,122,80,330.207204
Regular,3,123,20,179.484173
Regular,3,124,30,102.287255
Regular,3,125,20,45.614539
Regular,3,126,30,70.570129
Regular,3,127,20,260.289735
Regular,3,128,80,260.602858
Regular,3,129,30,46.488427
Regular,3,130,80,105.189667
Regular,3,131,30,184.215126
Regular,3,132,80,260.057003
Regular,3,133,80,182.062503
Regular,3,134,10,140.110426
Regular,3,135,20,331.342234
Regular,3,136,50,76.241346
Regular,3,137,80,343.597356
Regular,3,138,80,146.171671
Regular,3,139,50,259.923411
Regular,3,140,50,175.699466
Regular,3,141,20,28.928519
Regular,3,142,30,338.726634
Regular,3,143,10,100.025101
