model,seed,cum_reward
Regular,1,289.447380
Regular,1,50.195697
Regular,1,82.112483
Regular,1,290.672036
Regular,1,380.195101
Regular,1,79.443055
Regular,1,156.715485
Regular,1,379.378849
Regular,1,45.787157
Regular,1,201.675433
Regular,1,66.143498
Regular,1,32.439830
Regular,1,197.196600
Regular,1,293.859175
Regular,1,77.916469
Regular,1,288.796909
Regular,1,160.273231
Regular,1,113.208357
Regular,1,64.063613
Regular,1,200.610073
Regular,1,33.615757
Regular,1,61.939189
Regular,1,377.484536
Regular,1,48.484169
Regular,1,288.625152
Regular,1,200.051111
Regular,1,200.384306
Regular,1,64.695715
Regular,1,159.614136
Regular,1,65.715947
Regular,1,51.359629
Regular,1,289.898869
Regular,1,31.384342
Regular,1,293.007491
Regular,1,79.795932
Regular,1,78.557492
Regular,1,78.531885
Regular,1,160.228827
Regular,1,157.476288
Regular,1,380.222542
Regular,1,47.122016
Regular,1,82.439154
Regular,1,158.986429
Regular,1,51.869091
Regular,1,110.788625
Regular,1,204.094722
Regular,1,293.802246
Regular,1,376.687048
Regular,1,34.432177
Regular,1,30.865504
Regular,1,381.620402
Regular,1,63.922863
Regular,1,34.257527
Regular,1,381.774157
Regular,1,201.332890
Regular,1,34.178450
Regular,1,115.183627
Regular,1,378.673051
Regular,1,204.166857
Regular,1,203.637586
Regular,1,157.899421
Regular,1,63.831775
Regular,1,158.493322
Regular,1,291.514138
Regular,1,63.672044
Regular,1,158.607530
Regular,1,51.065189
Regular,1,68.939471
Regular,1,33.110189
Regular,1,32.751398
Regular,1,113.946200
Regular,1,203.396274
Regular,1,68.807094
Regular,1,61.558525
Regular,1,111.661626
Regular,1,79.385499
Regular,1,159.330861
Regular,1,159.406412
Regular,1,295.381380
Regular,1,381.476523
Regular,1,78.095538
Regular,1,33.314598
Regular,1,82.533061
Regular,1,67.964215
Regular,1,33.517103
Regular,1,152.709002
Regular,1,109.774909
Regular,1,34.448577
Regular,1,289.159084
Regular,1,49.400792
Regular,1,115.252708
Regular,1,116.567778
Regular,1,288.128124
Regular,1,377.922605
Regular,1,33.062156
Regular,1,202.132542
Regular,1,66.379446
Regular,1,33.580176
Regular,1,157.636435
Regular,1,81.994810
Regular,1,83.402522
Regular,1,206.316442
Regular,1,31.991764
Regular,1,67.602775
Regular,1,289.579600
Regular,1,80.058450
Regular,1,83.378923
Regular,1,207.066561
Regular,1,82.322346
Regular,1,379.763494
Regular,1,32.976771
Regular,1,52.025341
Regular,1,67.984880
Regular,1,203.595940
Regular,1,110.751884
Regular,1,32.004226
Regular,1,50.216888
Regular,1,288.397719
Regular,1,111.845484
Regular,1,377.295072
Regular,1,82.322946
Regular,1,33.975406
Regular,1,380.927555
Regular,1,160.364336
Regular,1,204.668950
Regular,1,377.418230
Regular,1,82.446766
Regular,1,49.724126
Regular,1,203.586434
Regular,1,110.429097
Regular,1,200.903891
Regular,1,111.258863
Regular,1,30.878233
Regular,1,51.884441
Regular,1,51.711592
Regular,1,112.340254
Regular,1,157.103755
Regular,1,65.762808
Regular,1,155.612712
Regular,1,115.559806
Regular,1,196.249932
Regular,1,52.373006
Regular,1,63.363500
Regular,1,158.781424
Regular,1,111.050638
Regular,1,295.027901
Regular,1,288.882918
Regular,1,380.031267
Regular,1,34.210657
Regular,1,78.553255
Regular,1,203.333250
Regular,1,34.230945
Regular,1,50.944117
Regular,1,161.369419
Regular,1,113.422812
Regular,1,206.316442
Regular,1,80.069212
Regular,1,205.948606
Regular,1,294.035781
Regular,1,381.307675
Regular,1,31.849217
Regular,1,288.267544
Regular,1,379.284863
Regular,1,65.732450
Regular,1,382.305995
Regular,1,201.275811
Regular,1,113.400719
Regular,1,204.995950
Regular,1,377.804433
Regular,1,34.164198
Regular,1,34.342983
Regular,1,156.906350
Regular,1,33.512875
Regular,1,84.465460
Regular,1,288.586896
Regular,1,297.107948
Regular,1,64.122247
Regular,1,115.677160
Regular,1,64.938424
Regular,1,382.875598
Regular,1,65.529996
Regular,1,200.227513
Regular,1,380.563757
Regular,1,52.323554
Regular,1,293.134115
Regular,1,205.898180
Regular,1,293.976810
Regular,1,63.863269
Regular,1,377.635316
Regular,1,52.411155
Regular,1,33.569674
Regular,1,156.108681
Regular,1,381.551937
Regular,1,49.023349
Regular,1,111.892969
Regular,1,155.697597
Regular,1,288.035938
Regular,1,84.716750
Regular,1,45.688510
Regular,1,377.404808
Regular,1,80.085123
Regular,1,376.471464
Regular,1,48.698500
Regular,1,84.650950
Regular,1,52.032062
Regular,1,68.963948
Regular,1,33.544027
Regular,1,290.423493
Regular,1,32.849468
Regular,1,52.349657
Regular,1,285.171268
Regular,1,47.752755
Regular,1,158.333887
Regular,1,152.936062
Regular,1,110.120663
Regular,1,83.150200
Regular,1,158.637331
Regular,1,83.644675
Regular,1,62.570812
Regular,1,32.728562
Regular,1,201.263375
Regular,1,378.518598
Regular,1,157.450092
Regular,1,155.827076
Regular,1,113.178454
Regular,1,155.165848
Regular,1,111.893250
Regular,1,84.770751
Regular,1,77.372998
Regular,1,51.896694
Regular,1,157.960064
Regular,1,50.479478
Regular,1,159.247806
Regular,1,66.454070
Regular,1,48.711530
Regular,1,156.587003
Regular,1,67.165335
Regular,1,107.860616
Regular,1,62.096482
Regular,1,50.905170
Regular,1,203.721040
Regular,1,377.193274
Regular,1,110.056378
Regular,1,201.910538
Regular,1,30.713376
Regular,1,46.386813
Regular,1,285.338326
Regular,1,34.046245
Regular,1,34.065264
Regular,1,48.713830
Regular,1,50.400260
Regular,1,52.397057
Regular,1,68.519540
Regular,1,158.436578
Regular,1,83.563357
Regular,1,380.069619
Regular,1,78.743811
Regular,1,63.104987
Regular,1,204.956852
Regular,1,64.541900
Regular,1,64.097938
Regular,1,287.699016
Regular,1,379.919569
Regular,1,110.711602
Regular,1,67.618558
Regular,1,32.786394
Regular,1,116.540034
Regular,1,79.667296
Regular,1,287.763743
